epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,592.681,1.1075,0.78652,1.02571,0.81994,0.73668,0.79927,0.49544,1.32141,1.15108,1.09585,0.000622615,0.000622615,0.000622615
59,603.002,1.07894,0.76369,1.00218,0.81585,0.72456,0.7856,0.48988,1.31199,1.1151,1.09636,0.000608468,0.000608468,0.000608468
60,613.585,1.0799,0.75596,1.00698,0.80287,0.78654,0.83181,0.50189,1.35181,1.09847,1.10264,0.000594321,0.000594321,0.000594321
61,624.058,1.09298,0.7534,1.00598,0.77419,0.76508,0.79711,0.50663,1.29162,1.11696,1.09046,0.000580174,0.000580174,0.000580174
62,634.465,1.06642,0.72408,1.00176,0.82853,0.7783,0.82583,0.50842,1.32043,1.07953,1.09617,0.000566027,0.000566027,0.000566027
63,645.117,1.06234,0.73253,0.99702,0.78274,0.75845,0.80669,0.50909,1.3028,1.07368,1.0977,0.00055188,0.00055188,0.00055188
64,655.751,1.04401,0.70504,0.98648,0.77072,0.68383,0.73061,0.46011,1.3385,1.21897,1.12351,0.000537733,0.000537733,0.000537733
65,666.331,1.04965,0.68523,0.99075,0.8008,0.68989,0.74537,0.47029,1.30907,1.15247,1.11615,0.000523586,0.000523586,0.000523586
66,676.791,1.10174,0.71715,1.00326,0.7869,0.76751,0.80743,0.52134,1.27403,1.04304,1.10311,0.000509438,0.000509438,0.000509438
67,687.207,1.07151,0.71518,1.00918,0.7427,0.78738,0.77408,0.49307,1.31137,1.14009,1.09703,0.000495291,0.000495291,0.000495291
68,697.758,1.05539,0.73465,0.99936,0.8218,0.74457,0.77807,0.4841,1.32324,1.19122,1.10876,0.000481144,0.000481144,0.000481144
69,708.097,1.06333,0.71481,1.01094,0.79925,0.74969,0.78686,0.49422,1.3054,1.19018,1.10453,0.000466997,0.000466997,0.000466997
70,718.651,1.04582,0.69898,0.99386,0.80484,0.76084,0.78732,0.49954,1.30521,1.12775,1.07719,0.00045285,0.00045285,0.00045285
71,729.084,1.02527,0.70014,0.9868,0.8011,0.73684,0.78329,0.48961,1.291,1.1256,1.07828,0.000438703,0.000438703,0.000438703
72,739.682,1.03921,0.69301,0.99302,0.76854,0.69768,0.76381,0.46996,1.28947,1.16861,1.09229,0.000424556,0.000424556,0.000424556
73,750.408,1.03821,0.68192,0.98791,0.79799,0.75836,0.78435,0.47581,1.35237,1.11747,1.11154,0.000410409,0.000410409,0.000410409
74,760.971,1.0229,0.66902,0.98241,0.81566,0.76043,0.79975,0.51279,1.24493,1.03291,1.07262,0.000396262,0.000396262,0.000396262
75,771.295,1.01131,0.68023,0.98992,0.75972,0.77616,0.7809,0.50101,1.28942,1.09997,1.09132,0.000382115,0.000382115,0.000382115
76,781.706,1.00297,0.67935,0.98635,0.83655,0.72855,0.80834,0.50303,1.31402,1.0317,1.08778,0.000367967,0.000367967,0.000367967
77,792.076,1.01,0.66187,0.98279,0.83565,0.7755,0.81662,0.52364,1.25659,0.97938,1.0781,0.00035382,0.00035382,0.00035382
78,802.525,1.02105,0.66575,0.98169,0.81652,0.77752,0.81533,0.52903,1.22713,0.98723,1.07623,0.000339673,0.000339673,0.000339673
79,813.058,0.96093,0.63981,0.97084,0.82487,0.75965,0.81287,0.5287,1.26942,0.99528,1.10094,0.000325526,0.000325526,0.000325526
80,823.591,1.0271,0.66479,0.97799,0.84521,0.74907,0.82067,0.53218,1.23733,0.97258,1.06113,0.000311379,0.000311379,0.000311379
81,834.402,0.95091,0.61802,0.94749,0.80719,0.76781,0.80506,0.51589,1.26183,1.01188,1.088,0.000297232,0.000297232,0.000297232
82,845.209,0.96795,0.62189,0.96518,0.76988,0.7706,0.81211,0.52752,1.21785,1.00626,1.07409,0.000283085,0.000283085,0.000283085
83,855.743,0.9661,0.64856,0.9738,0.8616,0.74249,0.81966,0.52822,1.25047,0.99408,1.08161,0.000268938,0.000268938,0.000268938
84,866.102,0.95648,0.62342,0.94803,0.79547,0.76477,0.80472,0.52314,1.25087,1.01665,1.09051,0.000254791,0.000254791,0.000254791
85,876.712,0.96017,0.62344,0.94834,0.81574,0.75568,0.81652,0.53281,1.25858,0.99521,1.09429,0.000240644,0.000240644,0.000240644
86,887.074,0.9496,0.61148,0.94939,0.81792,0.78134,0.82018,0.53058,1.2667,1.01059,1.09675,0.000226497,0.000226497,0.000226497
87,898.124,0.93457,0.60265,0.94639,0.78021,0.80871,0.81656,0.53233,1.23969,1.00017,1.08419,0.000212349,0.000212349,0.000212349
88,908.789,0.93844,0.60554,0.95972,0.82876,0.74342,0.8166,0.52776,1.25659,1.0297,1.07785,0.000198202,0.000198202,0.000198202
89,919.321,0.91407,0.60599,0.94328,0.78073,0.78427,0.80892,0.52034,1.27029,1.02628,1.08441,0.000184055,0.000184055,0.000184055
90,929.751,0.92906,0.5897,0.96014,0.78364,0.78526,0.81179,0.51645,1.26212,1.05009,1.08305,0.000169908,0.000169908,0.000169908
91,958.04,0.87719,0.53995,0.90256,0.78503,0.72841,0.77865,0.50214,1.26105,1.08905,1.08974,0.000155761,0.000155761,0.000155761
92,967.627,0.87283,0.53408,0.90855,0.78394,0.73724,0.78001,0.49951,1.25908,1.07446,1.10185,0.000141614,0.000141614,0.000141614
93,977.508,0.87429,0.52944,0.91274,0.83326,0.74773,0.79795,0.51051,1.25813,1.03386,1.08483,0.000127467,0.000127467,0.000127467
94,987.35,0.85263,0.50752,0.90264,0.84226,0.74208,0.7999,0.51575,1.23541,1.05164,1.07817,0.00011332,0.00011332,0.00011332
95,997.353,0.83142,0.50733,0.8937,0.83453,0.75716,0.80434,0.52259,1.2387,1.04636,1.0692,9.91726e-05,9.91726e-05,9.91726e-05
96,1007.44,0.83614,0.49711,0.89899,0.84473,0.75574,0.81234,0.53173,1.2309,1.01602,1.07117,8.50255e-05,8.50255e-05,8.50255e-05
97,1017.56,0.82287,0.49051,0.88504,0.83508,0.75643,0.80539,0.53211,1.21434,1.0231,1.07625,7.08784e-05,7.08784e-05,7.08784e-05
98,1027.77,0.81415,0.49059,0.89499,0.84893,0.74907,0.8097,0.52371,1.22362,1.01835,1.07415,5.67313e-05,5.67313e-05,5.67313e-05
99,1038.03,0.81602,0.49302,0.88602,0.85363,0.74461,0.81189,0.52478,1.21451,1.01247,1.07015,4.25842e-05,4.25842e-05,4.25842e-05
100,1048.56,0.81147,0.4778,0.88841,0.84168,0.74785,0.80224,0.52539,1.21132,1.00423,1.06703,2.84371e-05,2.84371e-05,2.84371e-05
